,clusterName,clusterSize,f_score,recall,precision,TN,FP,FN,TP,marker_count,NSForest_markers,onTarget,binary_genes,uuid
66,Pax6_4,896,0.8731422505,0.658,0.950867052,72627,17,171,329,2,"['PALMD', 'RELN']",0.1225284636,"['SCGN', 'CDH23', 'PAX6', 'PALMD', 'DDR2', 'TLL1', 'TNS3', 'PIEZO2', 'ANGPT1', 'EYA4']",960xwo684vic
67,Pvalb_1,4947,0.6944444444,0.38,0.8755760369,72617,27,310,190,3,"['MYBPC1', 'GPR149', 'SVIL']",0.04585856572,"['MYBPC1', 'ANKRD34B', 'CREB5', 'PHLDB2', 'GPR149', 'SVIL', 'IL1RAPL2', 'THSD7B', 'RIT2', 'ADAMTS17']",gewgwrlyn7vu
68,Pvalb_2,1992,0.7717391304,0.426,0.9681818182,72637,7,287,213,3,"['BCHE', 'SEMA3C', 'GPC5']",0.06709243357,"['MYBPC1', 'WNT16', 'BCHE', 'HGF', 'SEMA3C', 'GPC5', 'HTR2A', 'FAT4', 'RUNX2', 'PTPRK']",wi8feld0vk67
69,Pvalb_3,1941,0.6355932203,0.36,0.7860262009,72595,49,320,180,4,"['TAFA4', 'SYT10', 'ANOS1', 'HTR4']",0.07263541222,"['TAFA4', 'SYT10', 'ANOS1', 'ANGPT1', 'NWD2', 'HTR4', 'CUX2', 'TMEM132C', 'SCN9A', 'SLC9A9']",q240ygm9sec4
70,Pvalb_4,7180,0.4390934844,0.248,0.5438596491,72540,104,376,124,4,"['MT-ND4L', 'RGS5_ENSG00000143248', 'WIF1', 'TAC1']",0.05211424083,"['SLC26A4-AS1', 'SULF1', 'MT-ND4L', 'CRHBP', 'RGS5_ENSG00000143248', 'WIF1', 'TAC1', 'CEMIP', 'MYO5B', 'MT-ND5']",9cw9v6hyqw5h
71,Pvalb_5,5396,0.6364329268,0.334,0.8226600985,72608,36,333,167,4,"['SNTB1', 'COBLL1', 'GPR149', 'TAC1']",0.05028696731,"['MEPE', 'KCNK13', 'SNTB1', 'HGF', 'COBLL1', 'GPR149', 'PLCE1', 'PDGFC', 'GPC5', 'SLIT3']",g2zxdjq4op1c
72,Pvalb_6,48491,0.2925531915,0.198,0.3322147651,72445,199,401,99,4,"['POSTN', 'SULF1', 'CEMIP', 'RNF144B']",0.06235906482,"['POSTN', 'SULF1', 'CEMIP', 'DPP10-AS3', 'MYO5B', 'RNF144B', 'CNTNAP3', 'IL1RAP', 'LYPD6B', 'ADAMTS17']",yuw513ra2jfs
73,Pvalb_7,5707,0.565008726,0.518,0.578125,72455,189,241,259,2,"['SULF1', 'ZNF385D-AS2']",0.08884467185,"['LRRC38', 'HOMER3', 'PVALB', 'SULF1', 'ZNF385D-AS2', 'PXDNL', 'HS3ST1', 'NEAT1', 'ADAMTS17', 'EPHA3']",w3veetvn8l9a
74,Pvalb_8,1046,0.5676733781,0.406,0.6304347826,72525,119,297,203,3,"['CA8', 'FGFR2', 'TAC1']",0.05225411803,"['HOMER3', 'CA8', 'C1QL1', 'LBH', 'SULF1', 'FGFR2', 'TAC1', 'MT-ND5', 'NMNAT3', 'GABRD']",z390n8t2ni1a
75,Pvalb_9,891,0.5845323741,0.52,0.6032482599,72473,171,240,260,2,"['PVALB', 'POSTN']",0.1897684634,"['LRRC38', 'HOMER3', 'PVALB', 'POSTN', 'SULF1', 'SYT2', 'NEFH', 'LGI3', 'SNCG', 'MT-ND5']",4wxs8vhyuut1
76,Sncg_1,3120,0.5883947939,0.434,0.6458333333,72525,119,283,217,3,"['UNC5B', 'TAFA4', 'THSD7B']",0.08121369034,"['BCAS1', 'ADAM33', 'GNG12', 'UNC5B', 'TAFA4', 'NDST4', 'MEGF11', 'TTN', 'PRELID2', 'TAFA1']",e674p1i5wwk7
77,Sncg_2,1748,0.7396788991,0.516,0.8295819936,72591,53,242,258,4,"['FOXO1', 'CA10', 'PRELID2', 'THSD7B']",0.0334940888,"['NDNF', 'SEMA3C', 'FOXO1', 'LINC00299', 'CA10', 'PRELID2', 'THSD7B', 'IL1RAPL2', 'TSHZ2', 'COL12A1']",iu0d1oz85ahn
78,Sncg_3,2069,0.4528985507,0.2,0.6622516556,72593,51,400,100,3,"['SEMA3C', 'MYO1B', 'VAV3']",0.04006400704,"['SYT10', 'TAFA4', 'SEMA3C', 'MYO1B', 'ARHGAP24', 'VAV3', 'PRELID2', 'TAFA1', 'THSD7B', 'CXCL14']",hxq8ejg6skdy
79,Sncg_4,1644,0.6752411576,0.336,0.9032258065,72626,18,332,168,3,"['LINC01539', 'DCN', 'THSD7B']",0.05964647979,"['LINC01539', 'KCNG1', 'COL16A1', 'HCRTR2', 'DCN', 'WIF1', 'ARHGAP42', 'LAMA3', 'SLIT3', 'THSD7B']",wzys0jafd3fd
80,Sncg_5,3398,0.5214285714,0.292,0.6488888889,72565,79,354,146,3,"['COL5A2', 'TMEM47', 'MEGF11']",0.05994750559,"['COL5A2', 'SYT10', 'NDST4', 'TMEM47', 'GLRA3', 'MEGF11', 'LINC00299', 'RELN', 'PRELID2', 'CXCL14']",37ck5nyqk5qw
81,Sncg_6,1074,0.5738434164,0.258,0.8269230769,72617,27,371,129,3,"['THSD7B', 'ADAMTSL1', 'RELN']",0.02994056977,"['SYT10', 'SEMA3C', 'THSD7B', 'ADAMTSL1', 'SDK2', 'RELN', 'SRGAP1', 'ATP2B4', 'COL21A1', 'PTPRK']",bamhs422ryks
